Team Name,id,arithmetic_mean_ADT,Method Name,Challenge Phase
Amateur,170936,0.8051,,Joint Embedding - Phase 2
BIMSB Bioinformatics,168939,0.5773,,Joint Embedding - Phase 2
BIOCL,170876,0.7815,,Joint Embedding - Phase 2
Collab at AskExplain,170807,0.7782,gcproc,Joint Embedding - Phase 2
ComManDo,171086,0.3333,ComManDo - Fallback - More Resource,Joint Embedding - Phase 2
DJG lab,169223,0.6543,DJG_MOE_Joint_Embedding,Joint Embedding - Phase 2
FinPak,168524,0.7697,,Joint Embedding - Phase 2
GALIXIR_SYSU,168849,0.7092,PoE,Joint Embedding - Phase 2
GLUE,171078,0.7789,CLUE,Joint Embedding - Phase 2
GarryLab,170122,0.795,DJG_MOE_Joint_Embedding,Joint Embedding - Phase 2
Guanlab-dengkw,170795,0.8028,Finetune1,Joint Embedding - Phase 2
KhrameevaLab,171059,0.0,,Joint Embedding - Phase 2
LiuZ_Lab_BCM,170622,0.8033,GBSN,Joint Embedding - Phase 2
Living-Systems-Lab,170594,0.7885,LSL_5,Joint Embedding - Phase 2
MahfouzLab,169055,0.7588,Kit_1,Joint Embedding - Phase 2
Maxwell,168647,0.7693,base,Joint Embedding - Phase 2
SIMBA,171367,0.7827,SIMBA,Joint Embedding - Phase 2
S_lab,169995,0.7984,,Joint Embedding - Phase 2
TeamRegGen,169683,0.7968,Liam CITE 2,Joint Embedding - Phase 2
Teddy,170704,0.0,,Joint Embedding - Phase 2
Transbio_NB,169860,0.7547,,Joint Embedding - Phase 2
balia,170627,0.7678,,Joint Embedding - Phase 2
mikephn,170081,0.7891,,Joint Embedding - Phase 2
ob1a,169974,0.7605,,Joint Embedding - Phase 2
teamupupup,170423,0.7695,,Joint Embedding - Phase 2
willM,170631,0.5097,int_nmf_final,Joint Embedding - Phase 2
